((0.0, 0.1, 0.0, 0.0, 1), 0.8473548889160156)
((0.0, 0.1, 0.0, 0.0, 1), 0.8908040523529053)
((0.0, 0.1, 0.0, 0.0, 1), 0.9313478469848633)
((0.0, 0.1, 0.0, 0.0, 1), 0.9687519073486328)
((0.0, 0.1, 0.0, 0.0, 1), 1.0077369213104248)
((0.0, 0.1, 0.0, 0.0, 1), 1.0449728965759277)
((0.0, 0.1, 0.0, 0.0, 1), 1.0904419422149658)
((0.0, 0.1, 0.0, 0.0, 1), 1.126512050628662)
((0.0, 0.1, 0.0, 0.0, 1), 1.1651990413665771)
((0.0, 0.1, 0.0, 0.0, 1), 1.1996629238128662)
((0.6663, 0.2097, -1.382, 0, 0), 1.2610468864440918)
((0.6536, 0.2195, -1.4627, 0, 0), 1.3162870407104492)
((0.6965, 0.22, -1.4497, 188.94345732658635, 0), 1.3872840404510498)
((0.6923, 0.2161, -1.4562, 155.95903445552187, 0), 1.4463310241699219)
((0.7006, 0.221, -1.4895, 160.68931904718488, 0), 1.5100889205932617)
((0.706, 0.2277, -1.5172, 162.30368902681079, 0), 1.5752439498901367)
((0.7142, 0.2373, -1.5461, 163.63570110670659, 0), 1.6347239017486572)
((0.7176, 0.2436, -1.5534, 163.72772935332097, 0), 1.6885390281677246)
((0.7262, 0.2564, -1.5837, 163.33756444203661, 0), 1.7448458671569824)
((0.7307, 0.2671, -1.5992, 163.45985958385867, 0), 1.8050830364227295)
((0.7316, 0.2765, -1.6071, 163.4848613070335, 0), 1.8742859363555908)
((0.7398, 0.2752, -1.6313, 151.62358131394464, 0), 1.940438985824585)
((0.7446, 0.2807, -1.6478, 166.58902019598125, 0), 1.9951679706573486)
((0.7446, 0.2752, -1.6478, 164.73223042951409, 0), 2.0528769493103027)
((0.7353, 0.271, -1.6395, 164.46655561903279, 0), 2.1202640533447266)
((0.7353, 0.2655, -1.6395, 166.52730340288753, 0), 2.1710610389709473)
((0.7316, 0.2586, -1.6313, 167.26999588573921, 0), 2.22267484664917)
((0.7289, 0.2531, -1.6313, 169.81170032847777, 0), 2.279958963394165)
((0.7289, 0.2448, -1.6313, 176.75350815394586, 0), 2.3418679237365723)
((0.7298, 0.2433, -1.6395, 183.20948631779203, 0), 2.397036075592041)
((0.7243, 0.2405, -1.6395, 183.17983011986428, 0), 2.4648330211639404)
((0.7243, 0.2377, -1.6395, 242.11971556194723, 0), 2.5212249755859375)
((0.7307, 0.2333, -1.6478, 292.23803271556443, 0), 2.5810189247131348)
((0.7251, 0.2333, -1.6478, 270.0, 0), 2.636451005935669)
((0.7251, 0.2333, -1.6478, 230.86387201076897, 0), 2.7062289714813232)
((0.7177, 0.2345, -1.6561, 230.86387201076897, 0), 2.7638700008392334)
((0.7065, 0.2373, -1.6561, 209.26992716281373, 0), 2.8267178535461426)
((0.7216, 0.2178, -1.6151, 222.08916217383231, 0), 2.8811569213867188)
((0.6653, 0.22, -1.5534, 335.74284961431039, 0), 2.9478518962860107)
((0.6011, 0.4378, -1.7638, 323.16205760991301, 0), 3.0066869258880615)
((0.5951, 0.4497, -1.7638, 224.74535376772715, 0), 3.0632710456848145)
