('(0.0298, 0.2944, -1.4181, 192.3302639459931, 0)', 14.931658029556274)
('(0.0429, 0.2998, -1.4562, 180.64038815550265, 0)', 15.050313949584961)
('(0.0649, 0.2974, -1.4562, 171.18371949380736, 0)', 15.171435832977295)
('(0.0936, 0.2953, -1.4827, 157.18430758473335, 0)', 15.284399032592773)
('(0.1196, 0.2954, -1.4963, 148.28445164980212, 0)', 15.394579887390137)
('(0.1611, 0.2868, -1.5315, 131.05013197823607, 0)', 15.506469964981079)
('(0.1938, 0.2791, -1.5461, 122.49941217668666, 0)', 15.630223989486694)
('(0.2362, 0.2699, -1.5684, 124.89345590419384, 0)', 15.756886005401611)
('(0.2625, 0.2671, -1.5837, 121.00509973246352, 0)', 15.870419025421143)
('(0.2989, 0.2629, -1.6071, 121.45064454567581, 0)', 15.98633599281311)
('(0.3194, 0.2451, -1.6151, 118.75010585114359, 0)', 16.10683798789978)
('(0.3628, 0.2433, -1.6395, 118.78276768369162, 0)', 16.22788095474243)
('(0.373, 0.2389, -1.6478, 119.31906196993563, 0)', 16.356802940368652)
('(0.3844, 0.2398, -1.6732, 120.11761292856775, 0)', 16.480998039245605)
('(0.3883, 0.2365, -1.6905, 127.7075885696391, 0)', 16.610644817352295)
('(0.3916, 0.2316, -1.7173, 137.5791475002834, 0)', 16.73117184638977)
('(0.3912, 0.2455, -1.7543, 159.686458042476, 0)', 16.860734939575195)
('(0.3865, 0.2451, -1.7734, 170.30228866486414, 0)', 17.001237869262695)
('(0.3502, 0.2441, -1.8333, 178.79936601847496, 0)', 17.123908042907715)
('(0.3317, 0.2379, -1.8333, 194.93890878106467, 0)', 17.24986696243286)
('(0.3141, 0.237, -1.8755, 207.31089449327789, 0)', 17.37972092628479)
('(0.2778, 0.2348, -1.9085, 212.46201468728879, 0)', 17.504762887954712)
('(0.2454, 0.2277, -1.9312, 218.81977984281073, 0)', 17.63149094581604)
('(0.1978, 0.2159, -1.9427, 226.94962152922585, 0)', 17.759837865829468)
('(0.1581, 0.2032, -1.9781, 230.75022805495044, 0)', 17.883136987686157)
('(0.1115, 0.1898, -1.9781, 236.66738813626853, 0)', 18.002234935760498)
('(0.0653, 0.1707, -1.9902, 247.28967840062572, 0)', 18.13197684288025)
('(0.0151, 0.1539, -1.9902, 251.86142249755213, 0)', 18.245513916015625)
('(-0.0182, 0.1387, -1.9661, 255.42637130034132, 0)', 18.363250017166138)
('(-0.0572, 0.1239, -1.9427, 273.89387692241928, 0)', 18.486840963363647)
('(-0.0894, 0.1068, -1.9312, 281.85099611463039, 0)', 18.607280015945435)
('(-0.1134, 0.0825, -1.8974, 290.87601690955785, 0)', 18.727411031723022)
('(-0.1302, 0.0622, -1.8648, 305.83602495577009, 0)', 18.855332851409912)
